SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attemps: 5 | Possible brute force attack detected
SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attemps: 8 | Possible brute force attack detected
SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:33:50 | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:33:50 | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:33:52 | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:33:52 | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:37:01 | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:37:01 | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:52:08 | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:52:08 | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 13:54:03 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 13:54:03 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
09-09-2026 14:06:11 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
09-09-2026 14:06:11 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:05:07 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:05:07 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:06:19 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:06:19 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:06:37 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:06:37 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:09:04 | HIGH | SECURITY ALERT | Username: admin | IP Address: 192.168.1.20 | Failed attempts: 5 | Possible brute force attack detected
10-09-2026 16:09:04 | CRITICAL | SECURITY ALERT | Username: root | IP Address: 192.168.1.50 | Failed attempts: 8 | Possible brute force attack detected
10-09-2026 16:09:04 | CRITICAL | SECURITY ALERT | Username: testuser | IP Address:  10.10.10.10.6 | Failed attempts: 9 | Possible brute force attack detected
